,Assassin,Gunner,Kamikaze,Duelist,Battle Medic,Sweeper,Sniper,Mage,Cannon,Druid,Skirmisher,Hazard,Gladiator,Team Support,Harasser,Wall,Tank,Lead,Healer,Ambulance,Flyer,ENT
269,0.045,0.625,0.55,0.08,0.015,0.225,0.515,0.815,0.13,0.775,0.025,0.01,0.295,0.03,0.015,0.825,0.005,0.015,0.0,0.0,0.005,2.2644999334397555
270,0.05,0.675,0.535,0.095,0.01,0.245,0.525,0.755,0.135,0.725,0.025,0.01,0.275,0.02,0.005,0.875,0.01,0.025,0.0,0.005,0.0,2.2689527220287267
271,0.045,0.835,0.44,0.145,0.01,0.325,0.45,0.68,0.19,0.68,0.015,0.01,0.25,0.01,0.01,0.855,0.025,0.02,0.0,0.0,0.005,2.293570626755578
272,0.055,0.8,0.475,0.175,0.035,0.33,0.395,0.695,0.205,0.685,0.01,0.005,0.22,0.01,0.015,0.865,0.015,0.01,0.0,0.0,0.0,2.296010104493353
273,0.055,0.905,0.365,0.225,0.025,0.34,0.36,0.685,0.25,0.62,0.005,0.005,0.25,0.015,0.035,0.82,0.025,0.01,0.0,0.005,0.0,2.3273700554832994
274,0.06,0.865,0.29,0.28,0.01,0.39,0.32,0.675,0.325,0.625,0.015,0.0,0.195,0.01,0.045,0.865,0.015,0.015,0.0,0.0,0.0,2.315579802868255
275,0.085,0.9,0.165,0.34,0.01,0.455,0.305,0.62,0.385,0.53,0.04,0.0,0.205,0.01,0.03,0.87,0.015,0.03,0.0,0.005,0.0,2.340646000740707
276,0.09,0.905,0.175,0.385,0.02,0.49,0.24,0.575,0.465,0.495,0.025,0.01,0.195,0.005,0.04,0.825,0.025,0.02,0.005,0.01,0.0,2.3666773883627523
277,0.1,0.845,0.215,0.435,0.005,0.48,0.22,0.595,0.445,0.545,0.03,0.02,0.13,0.005,0.04,0.84,0.02,0.03,0.0,0.0,0.0,2.351615657987121
278,0.09,0.845,0.165,0.455,0.01,0.51,0.17,0.585,0.435,0.615,0.02,0.02,0.17,0.0,0.025,0.825,0.02,0.03,0.005,0.005,0.0,2.3344553885968975
279,0.075,0.895,0.205,0.47,0.01,0.47,0.175,0.525,0.33,0.68,0.02,0.02,0.205,0.01,0.015,0.845,0.025,0.02,0.005,0.0,0.0,2.3244948115252257
280,0.055,0.97,0.18,0.57,0.01,0.46,0.125,0.535,0.29,0.63,0.02,0.005,0.215,0.0,0.02,0.875,0.005,0.02,0.005,0.005,0.005,2.2655433212304605
281,0.08,0.96,0.185,0.58,0.0,0.535,0.08,0.5,0.295,0.605,0.01,0.01,0.29,0.01,0.015,0.795,0.015,0.03,0.0,0.005,0.0,2.2802352580156335
282,0.08,0.87,0.17,0.585,0.025,0.585,0.075,0.5,0.255,0.625,0.01,0.005,0.385,0.01,0.01,0.755,0.02,0.015,0.005,0.01,0.005,2.3117575285773566
283,0.06,0.795,0.13,0.59,0.02,0.67,0.065,0.52,0.335,0.555,0.005,0.015,0.44,0.005,0.02,0.725,0.02,0.025,0.0,0.005,0.0,2.3035749580734897
284,0.065,0.805,0.145,0.59,0.005,0.675,0.055,0.485,0.295,0.535,0.02,0.035,0.495,0.005,0.0,0.72,0.015,0.025,0.01,0.015,0.005,2.3170474808879886
285,0.05,0.78,0.155,0.575,0.005,0.7,0.085,0.48,0.22,0.595,0.0,0.045,0.575,0.005,0.015,0.67,0.005,0.015,0.02,0.005,0.0,2.2975494605248996
286,0.08,0.715,0.105,0.53,0.025,0.75,0.05,0.485,0.17,0.61,0.01,0.05,0.63,0.01,0.02,0.72,0.0,0.015,0.015,0.01,0.0,2.298699216710661
287,0.125,0.715,0.035,0.605,0.015,0.75,0.055,0.41,0.15,0.64,0.01,0.03,0.68,0.005,0.015,0.695,0.02,0.025,0.005,0.01,0.005,2.2735455311086716
288,0.14,0.605,0.035,0.605,0.02,0.845,0.05,0.435,0.155,0.625,0.01,0.015,0.73,0.01,0.015,0.64,0.035,0.02,0.0,0.01,0.0,2.2676165857438746
289,0.175,0.62,0.025,0.535,0.025,0.835,0.02,0.395,0.13,0.65,0.0,0.005,0.74,0.01,0.03,0.73,0.005,0.055,0.0,0.01,0.005,2.239495628447566
290,0.215,0.65,0.04,0.54,0.015,0.78,0.015,0.31,0.11,0.7,0.01,0.0,0.745,0.005,0.03,0.735,0.03,0.03,0.01,0.015,0.015,2.2600565519676152
291,0.245,0.69,0.075,0.51,0.015,0.745,0.03,0.275,0.07,0.76,0.0,0.005,0.745,0.005,0.02,0.74,0.03,0.035,0.0,0.005,0.0,2.229020214207017
292,0.24,0.68,0.085,0.545,0.015,0.685,0.03,0.275,0.04,0.82,0.005,0.015,0.735,0.015,0.015,0.73,0.03,0.02,0.0,0.005,0.015,2.2421150490325474
293,0.245,0.65,0.08,0.565,0.02,0.73,0.01,0.255,0.045,0.865,0.005,0.015,0.665,0.015,0.025,0.76,0.015,0.025,0.005,0.005,0.0,2.219336586912579
294,0.295,0.695,0.045,0.545,0.03,0.66,0.02,0.25,0.03,0.855,0.005,0.0,0.685,0.015,0.01,0.805,0.01,0.02,0.0,0.025,0.0,2.1919507072417064
295,0.305,0.745,0.05,0.49,0.01,0.635,0.035,0.245,0.055,0.835,0.005,0.0,0.665,0.01,0.0,0.84,0.02,0.05,0.0,0.005,0.0,2.195851169846705
296,0.355,0.695,0.03,0.42,0.02,0.665,0.01,0.215,0.06,0.865,0.01,0.0,0.685,0.005,0.01,0.88,0.015,0.03,0.0,0.02,0.01,2.188063102434964
297,0.37,0.655,0.035,0.46,0.045,0.68,0.025,0.225,0.07,0.865,0.005,0.0,0.555,0.0,0.02,0.93,0.01,0.035,0.005,0.005,0.005,2.2099687803877743
298,0.37,0.595,0.04,0.46,0.015,0.69,0.02,0.26,0.075,0.885,0.015,0.0,0.54,0.0,0.015,0.955,0.02,0.045,0.0,0.0,0.0,2.1960664634134566
299,0.365,0.625,0.05,0.47,0.01,0.705,0.015,0.21,0.09,0.89,0.015,0.0,0.5,0.01,0.01,0.975,0.02,0.025,0.0,0.015,0.0,2.195384836840088
300,0.37,0.635,0.055,0.515,0.015,0.695,0.005,0.24,0.1,0.86,0.005,0.0,0.46,0.01,0.0,0.965,0.03,0.035,0.0,0.005,0.0,2.1925377329715805
301,0.31,0.695,0.045,0.52,0.015,0.72,0.01,0.21,0.11,0.825,0.01,0.0,0.46,0.0,0.01,0.96,0.055,0.03,0.005,0.01,0.0,2.2086581397786427
302,0.295,0.805,0.025,0.53,0.015,0.69,0.015,0.185,0.07,0.88,0.005,0.005,0.43,0.01,0.01,0.975,0.025,0.015,0.0,0.01,0.005,2.1527834117890174
303,0.295,0.81,0.03,0.575,0.01,0.635,0.005,0.13,0.075,0.925,0.005,0.0,0.4,0.02,0.02,1.0,0.02,0.03,0.005,0.005,0.005,2.141265373688644
304,0.305,0.865,0.035,0.585,0.005,0.63,0.02,0.1,0.07,0.93,0.005,0.0,0.365,0.005,0.005,1.035,0.01,0.02,0.005,0.005,0.0,2.0869019776726465
305,0.345,0.895,0.04,0.595,0.02,0.575,0.015,0.085,0.065,0.925,0.0,0.0,0.345,0.015,0.005,1.03,0.015,0.02,0.005,0.0,0.005,2.098092946933664
306,0.39,0.885,0.04,0.565,0.03,0.565,0.005,0.055,0.09,0.96,0.015,0.0,0.32,0.01,0.005,1.04,0.015,0.0,0.0,0.005,0.005,2.0837806945787163
307,0.34,0.98,0.06,0.6,0.04,0.46,0.005,0.08,0.095,0.97,0.005,0.0,0.295,0.0,0.0,1.005,0.035,0.02,0.005,0.0,0.005,2.1013845242512654
308,0.415,0.925,0.09,0.515,0.02,0.47,0.01,0.075,0.1,0.965,0.01,0.0,0.305,0.01,0.005,1.045,0.025,0.0,0.01,0.005,0.0,2.1160688801597627
309,0.445,0.87,0.065,0.555,0.025,0.465,0.005,0.08,0.095,0.965,0.015,0.005,0.245,0.01,0.0,1.065,0.01,0.06,0.005,0.01,0.005,2.1389768913255667
310,0.465,0.845,0.075,0.53,0.025,0.515,0.01,0.075,0.06,0.93,0.01,0.0,0.28,0.015,0.0,1.085,0.04,0.035,0.005,0.0,0.0,2.127289807465487
311,0.445,0.87,0.05,0.55,0.02,0.54,0.005,0.045,0.045,0.965,0.0,0.0,0.275,0.02,0.01,1.1,0.015,0.04,0.0,0.005,0.0,2.070183503630605
312,0.425,0.85,0.07,0.59,0.02,0.535,0.01,0.025,0.05,0.945,0.015,0.0,0.265,0.005,0.0,1.13,0.015,0.035,0.005,0.005,0.005,2.0727897901197516
313,0.44,0.77,0.105,0.615,0.01,0.565,0.01,0.03,0.04,0.91,0.005,0.005,0.29,0.005,0.0,1.105,0.01,0.065,0.02,0.0,0.0,2.101967108100124
314,0.5,0.68,0.14,0.635,0.035,0.505,0.01,0.04,0.015,0.905,0.01,0.01,0.325,0.015,0.005,1.07,0.03,0.05,0.01,0.01,0.0,2.166338078380362
315,0.585,0.565,0.16,0.585,0.04,0.56,0.01,0.045,0.045,0.865,0.005,0.0,0.37,0.01,0.01,1.04,0.035,0.05,0.005,0.015,0.0,2.1993206322790457
316,0.615,0.575,0.16,0.62,0.005,0.51,0.015,0.04,0.04,0.86,0.01,0.0,0.405,0.015,0.02,1.06,0.0,0.03,0.0,0.015,0.005,2.1520673928732386
317,0.665,0.605,0.15,0.605,0.05,0.47,0.01,0.025,0.04,0.84,0.0,0.0,0.39,0.015,0.03,1.065,0.015,0.025,0.0,0.0,0.0,2.1505631462971277
318,0.68,0.71,0.16,0.6,0.02,0.335,0.0,0.07,0.06,0.83,0.005,0.0,0.365,0.015,0.055,1.035,0.015,0.035,0.005,0.005,0.0,2.184222753910346
319,0.715,0.815,0.15,0.535,0.015,0.3,0.01,0.085,0.075,0.775,0.015,0.0,0.3,0.02,0.035,1.085,0.02,0.04,0.005,0.005,0.0,2.187158034854362
320,0.695,0.83,0.13,0.49,0.02,0.34,0.02,0.09,0.115,0.73,0.005,0.0,0.285,0.015,0.01,1.155,0.025,0.03,0.01,0.005,0.0,2.1769510169297708
321,0.715,0.825,0.13,0.505,0.04,0.32,0.04,0.09,0.105,0.72,0.015,0.005,0.25,0.025,0.01,1.155,0.02,0.025,0.0,0.005,0.0,2.1945741222987993
322,0.735,0.78,0.14,0.44,0.005,0.325,0.03,0.085,0.07,0.785,0.01,0.02,0.275,0.025,0.02,1.2,0.0,0.045,0.0,0.005,0.005,2.1619935085757693
323,0.775,0.685,0.16,0.35,0.015,0.355,0.04,0.11,0.08,0.785,0.02,0.0,0.26,0.01,0.0,1.305,0.015,0.03,0.0,0.005,0.0,2.136129832584945
324,0.95,0.55,0.155,0.235,0.01,0.32,0.01,0.11,0.075,0.84,0.01,0.0,0.28,0.02,0.005,1.345,0.03,0.035,0.005,0.015,0.0,2.102970290503222
325,0.865,0.575,0.215,0.225,0.025,0.33,0.025,0.105,0.07,0.845,0.005,0.005,0.255,0.025,0.005,1.375,0.01,0.035,0.0,0.005,0.0,2.108900958536945
326,0.875,0.5,0.265,0.2,0.025,0.29,0.03,0.115,0.125,0.87,0.005,0.0,0.265,0.005,0.01,1.395,0.005,0.02,0.0,0.0,0.0,2.0923877093712355
327,0.79,0.465,0.325,0.24,0.02,0.35,0.045,0.08,0.135,0.885,0.01,0.0,0.24,0.005,0.01,1.335,0.015,0.045,0.005,0.0,0.0,2.153481819545631
328,0.765,0.45,0.33,0.25,0.005,0.41,0.04,0.065,0.15,0.875,0.0,0.015,0.26,0.005,0.01,1.255,0.03,0.06,0.01,0.015,0.0,2.201505664136248
329,0.725,0.455,0.37,0.21,0.015,0.415,0.01,0.055,0.115,0.9,0.015,0.03,0.285,0.005,0.01,1.295,0.04,0.04,0.005,0.005,0.0,2.1771102376153584
330,0.74,0.385,0.43,0.215,0.01,0.415,0.0,0.055,0.095,0.925,0.01,0.03,0.305,0.005,0.015,1.29,0.035,0.035,0.0,0.005,0.0,2.146549982723401
331,0.695,0.29,0.51,0.265,0.025,0.475,0.005,0.07,0.09,0.89,0.005,0.03,0.315,0.005,0.015,1.215,0.04,0.045,0.015,0.0,0.0,2.2026043462478015
332,0.695,0.3,0.47,0.225,0.01,0.545,0.005,0.04,0.065,0.915,0.01,0.01,0.38,0.01,0.01,1.225,0.045,0.025,0.01,0.0,0.005,2.15007647548707
333,0.715,0.315,0.42,0.235,0.025,0.52,0.01,0.035,0.06,0.895,0.015,0.015,0.4,0.015,0.02,1.215,0.04,0.025,0.01,0.005,0.01,2.1912089530227563
334,0.72,0.305,0.465,0.255,0.02,0.51,0.005,0.0,0.065,0.91,0.015,0.01,0.395,0.015,0.02,1.2,0.03,0.04,0.01,0.005,0.005,2.1586827839074685
335,0.75,0.34,0.44,0.225,0.01,0.485,0.0,0.005,0.05,0.905,0.01,0.015,0.46,0.0,0.015,1.22,0.03,0.03,0.0,0.005,0.005,2.108048258553056
336,0.725,0.325,0.415,0.24,0.02,0.54,0.005,0.01,0.06,0.865,0.02,0.01,0.49,0.01,0.005,1.205,0.02,0.02,0.0,0.015,0.0,2.1344054930340075
337,0.68,0.36,0.455,0.3,0.025,0.565,0.01,0.005,0.065,0.84,0.005,0.015,0.45,0.01,0.005,1.165,0.02,0.025,0.0,0.0,0.0,2.1444174392576802
338,0.69,0.35,0.45,0.31,0.035,0.54,0.0,0.015,0.095,0.87,0.0,0.015,0.44,0.0,0.0,1.08,0.035,0.065,0.0,0.01,0.0,2.1866134385267975
339,0.66,0.345,0.445,0.33,0.01,0.565,0.005,0.01,0.125,0.845,0.015,0.025,0.49,0.005,0.0,1.02,0.03,0.055,0.01,0.01,0.0,2.225207724202682
340,0.615,0.33,0.485,0.34,0.02,0.615,0.015,0.02,0.11,0.835,0.005,0.005,0.54,0.0,0.0,0.99,0.025,0.025,0.0,0.02,0.005,2.2052865321417765
341,0.605,0.295,0.47,0.415,0.03,0.675,0.01,0.0,0.095,0.84,0.005,0.01,0.53,0.01,0.005,0.915,0.025,0.04,0.0,0.015,0.01,2.2221392465935783
342,0.68,0.275,0.36,0.42,0.03,0.74,0.02,0.005,0.115,0.83,0.01,0.01,0.65,0.015,0.005,0.76,0.03,0.035,0.0,0.01,0.0,2.234296861515782
343,0.705,0.28,0.345,0.43,0.015,0.72,0.02,0.035,0.115,0.83,0.0,0.01,0.65,0.035,0.005,0.735,0.02,0.03,0.005,0.015,0.0,2.249539077790203
344,0.79,0.29,0.3,0.48,0.03,0.665,0.01,0.035,0.19,0.835,0.0,0.0,0.63,0.025,0.01,0.635,0.01,0.035,0.01,0.015,0.005,2.2657070112103277
